,State,Year,State_Minimum_Wage,Federal_Minimum_Wage,Victim_Count
0,Alabama,1991,0.0,3.8,0.0
1,Alaska,1991,4.3,3.8,0.0
2,Arizona,1991,0.0,3.8,48.0
3,Arkansas,1991,3.35,3.8,12.0
4,California,1991,4.25,3.8,5.0
5,Colorado,1991,3.0,3.8,128.0
6,Connecticut,1991,4.25,3.8,69.0
7,Delaware,1991,3.8,3.8,29.0
8,District of Columbia,1991,3.7,3.8,6.0
9,Florida,1991,0.0,3.8,0.0
10,Georgia,1991,3.25,3.8,23.0
11,Guam,1991,3.8,3.8,0.0
12,Hawaii,1991,3.85,3.8,0.0
13,Idaho,1991,3.8,3.8,33.0
14,Illinois,1991,3.8,3.8,156.0
15,Indiana,1991,3.35,3.8,0.0
16,Iowa,1991,4.25,3.8,89.0
17,Kansas,1991,2.65,3.8,6.0
18,Kentucky,1991,3.8,3.8,0.0
19,Louisiana,1991,0.0,3.8,0.0
20,Maine,1991,3.85,3.8,0.0
21,Maryland,1991,3.8,3.8,431.0
22,Massachusetts,1991,3.75,3.8,200.0
23,Michigan,1991,3.35,3.8,0.0
24,Minnesota,1991,4.25,3.8,225.0
25,Mississippi,1991,0.0,3.8,1.0
26,Missouri,1991,3.8,3.8,136.0
27,Montana,1991,3.8,3.8,0.0
28,Nebraska,1991,3.35,3.8,0.0
29,Nevada,1991,3.8,3.8,16.0
30,New Hampshire,1991,3.85,3.8,0.0
31,New Jersey,1991,3.8,3.8,894.0
32,New Mexico,1991,3.35,3.8,0.0
33,New York,1991,3.8,3.8,943.0
34,North Carolina,1991,3.35,3.8,0.0
35,North Dakota,1991,3.4,3.8,0.0
36,Ohio,1991,3.8,3.8,80.0
37,Oklahoma,1991,3.8,3.8,99.0
38,Oregon,1991,4.75,3.8,296.0
39,Pennsylvania,1991,3.8,3.8,277.0
40,Puerto Rico,1991,1.2,3.8,0.0
41,Rhode Island,1991,4.25,3.8,0.0
42,South Carolina,1991,0.0,3.8,0.0
